cmp_segid,cmp_name,distance_km,air_lat,air_lon,neighborhood,device_name,rank
467,16th St,0.010372143911134833,37.765992,-122.399273,Potrero Hill,Air District Reference Site,1
468,16th St,0.054708988812429755,37.765992,-122.399273,Potrero Hill,Air District Reference Site,2
472,Mariposa,0.23285335001312785,37.765992,-122.399273,Potrero Hill,Air District Reference Site,3
471,Mariposa,0.2772142017911079,37.765992,-122.399273,Potrero Hill,Air District Reference Site,4
239,I-280,0.30259098946720286,37.765992,-122.399273,Potrero Hill,Air District Reference Site,5
4,3rd St,0.0057104009361028715,37.725156,-122.394156,BVHP,BVHP Foundation,1
8,3rd St,0.03801618164555387,37.725156,-122.394156,BVHP,BVHP Foundation,2
650,Gilman,0.30824368092469623,37.725156,-122.394156,BVHP,BVHP Foundation,3
645,Paul,0.3098261913627286,37.725156,-122.394156,BVHP,BVHP Foundation,4
649,Gilman,0.3517026453985907,37.725156,-122.394156,BVHP,BVHP Foundation,5
42,Brannan,0.026314368331433084,37.769559,-122.406857,SoMa,Fitness SF SOMA,1
236,US-101,0.0280921752956361,37.769559,-122.406857,SoMa,Fitness SF SOMA,2
45,Brannan,0.06655621841472968,37.769559,-122.406857,SoMa,Fitness SF SOMA,3
17,9th St,0.07115816757702022,37.769559,-122.406857,SoMa,Fitness SF SOMA,4
201,Potrero,0.08809921771078416,37.769559,-122.406857,SoMa,Fitness SF SOMA,5
599,Hyde,0.04334986042378886,37.782098,-122.415329,Tenderloin,126 Hyde St,1
123,Golden Gate,0.06976200404067266,37.782098,-122.415329,Tenderloin,126 Hyde St,2
217,Turk,0.0804971165641635,37.782098,-122.415329,Tenderloin,126 Hyde St,3
218,Turk,0.08160872123909335,37.782098,-122.415329,Tenderloin,126 Hyde St,4
598,Leavenworth,0.13970832599879837,37.782098,-122.415329,Tenderloin,126 Hyde St,5
658,Evans/Innes,0.19311198781775907,37.728871,-122.374401,BVHP,Wu Yee Kirkwood,1
659,Evans/Innes,0.23413294450268632,37.728871,-122.374401,BVHP,Wu Yee Kirkwood,2
674,Ingalls,0.49820627136035267,37.728871,-122.374401,BVHP,Wu Yee Kirkwood,3
675,Ingalls,0.5357010631992053,37.728871,-122.374401,BVHP,Wu Yee Kirkwood,4
668,Ingalls,0.7868480137080789,37.728871,-122.374401,BVHP,Wu Yee Kirkwood,5
48,Broadway,0.016223071510739016,37.797211,-122.409109,Chinatown,Bayside Elderly,1
589,Stockton,0.03137972131025612,37.797211,-122.409109,Chinatown,Bayside Elderly,2
51,Broadway,0.060469428932918734,37.797211,-122.409109,Chinatown,Bayside Elderly,3
590,Stockton,0.0667451439599836,37.797211,-122.409109,Chinatown,Bayside Elderly,4
595,Powell,0.08078012314121963,37.797211,-122.409109,Chinatown,Bayside Elderly,5
72,Clay,0.015853562909599828,37.794292,-122.404098,Chinatown,665 Clay St,1
143,Kearny,0.039515472592210873,37.794292,-122.404098,Chinatown,665 Clay St,2
328,Sacramento,0.04835819951502699,37.794292,-122.404098,Chinatown,665 Clay St,3
179,Montgomery,0.07291589533627121,37.794292,-122.404098,Chinatown,665 Clay St,4
329,Sacramento,0.07398413838110256,37.794292,-122.404098,Chinatown,665 Clay St,5
217,Turk,0.05408583312095687,37.783781,-122.411561,Tenderloin,Drake Hotel,1
596,Taylor,0.07598245946197213,37.783781,-122.411561,Tenderloin,Drake Hotel,2
597,Jones,0.10645529287267806,37.783781,-122.411561,Tenderloin,Drake Hotel,3
157,Market/Portola,0.18216532692520926,37.783781,-122.411561,Tenderloin,Drake Hotel,4
13,6th St,0.19829800865541028,37.783781,-122.411561,Tenderloin,Drake Hotel,5
136,Howard,0.010494317232386157,37.77947,-122.407921,SoMa,United Playaz,1
14,6th St,0.04819163677514704,37.77947,-122.407921,SoMa,United Playaz,2
13,6th St,0.08844075700032383,37.77947,-122.407921,SoMa,United Playaz,3
171,Mission/Otis,0.1458274663772536,37.77947,-122.407921,SoMa,United Playaz,4
174,Mission/Otis,0.18607600451965703,37.77947,-122.407921,SoMa,United Playaz,5
136,Howard,0.010494317232386157,37.77947,-122.407921,Potrero Hill,Joseph Lee Rec Center,1
14,6th St,0.04819163677514704,37.77947,-122.407921,Potrero Hill,Joseph Lee Rec Center,2
13,6th St,0.08844075700032383,37.77947,-122.407921,Potrero Hill,Joseph Lee Rec Center,3
171,Mission/Otis,0.1458274663772536,37.77947,-122.407921,Potrero Hill,Joseph Lee Rec Center,4
174,Mission/Otis,0.18607600451965703,37.77947,-122.407921,Potrero Hill,Joseph Lee Rec Center,5
467,16th St,0.00036106621199028785,37.7661,-122.398971,Potrero Hill,Air District Reference Site,1
468,16th St,0.04443968805574865,37.7661,-122.398971,Potrero Hill,Air District Reference Site,2
472,Mariposa,0.2428996646592144,37.7661,-122.398971,Potrero Hill,Air District Reference Site,3
644,I-280,0.2752079259922552,37.7661,-122.398971,Potrero Hill,Air District Reference Site,4
239,I-280,0.27594531669601985,37.7661,-122.398971,Potrero Hill,Air District Reference Site,5
4,3rd St,0.07715503557014927,37.734787,-122.389569,Potrero Hill,Joseph Lee Rec Center,1
502,Oakdale,0.10170030951372516,37.734787,-122.389569,Potrero Hill,Joseph Lee Rec Center,2
8,3rd St,0.11294410265146701,37.734787,-122.389569,Potrero Hill,Joseph Lee Rec Center,3
501,Oakdale,0.11438499327809115,37.734787,-122.389569,Potrero Hill,Joseph Lee Rec Center,4
673,Palou,0.12088047140236667,37.734787,-122.389569,Potrero Hill,Joseph Lee Rec Center,5
